Timestamp,OAT (F),Power (kW)
2010-06-02 17:45:00,68,321.1
2010-06-02 18:00:00,68,341.4
2010-06-02 18:15:00,67,311.8
2010-06-02 18:30:00,67,363.0
2010-06-02 18:45:00,67,315.6
2010-06-02 19:00:00,67,352.6
2010-06-02 19:15:00,68,325.9
2010-06-02 19:30:00,68,342.3
2010-06-02 19:45:00,68,346.4
2010-06-02 20:00:00,68,297.7
2010-06-02 20:15:00,65,332.9
2010-06-02 20:30:00,65,367.3
2010-06-02 20:45:00,65,352.9
2010-06-02 21:00:00,65,403.0
2010-06-02 21:15:00,62,370.6
2010-06-02 21:30:00,62,353.1
2010-06-02 21:45:00,62,387.8
2010-06-02 22:00:00,62,354.0
2010-06-02 22:15:00,61,361.3
2010-06-02 22:30:00,61,356.7
2010-06-02 22:45:00,61,358.9
2010-06-02 23:00:00,61,354.0
2010-06-02 23:15:00,61,240.2
2010-06-02 23:30:00,61,269.1
2010-06-02 23:45:00,61,198.2
2010-06-03 00:00:00,61,216.8
2010-06-03 00:15:00,61,198.0
2010-06-03 00:30:00,61,185.5
2010-06-03 00:45:00,61,211.7
2010-06-03 01:00:00,61,195.5
2010-06-03 01:15:00,62,217.7
2010-06-03 01:30:00,62,189.8
2010-06-03 01:45:00,62,210.2
2010-06-03 02:00:00,62,195.6
2010-06-03 02:15:00,62,202.8
2010-06-03 02:30:00,62,200.6
2010-06-03 02:45:00,62,212.3
2010-06-03 03:00:00,62,199.0
2010-06-03 03:15:00,62,204.4
2010-06-03 03:30:00,62,186.9
2010-06-03 03:45:00,62,216.7
2010-06-03 04:00:00,62,197.0
2010-06-03 04:15:00,63,207.2
2010-06-03 04:30:00,63,192.7
2010-06-03 04:45:00,63,212.1
2010-06-03 05:00:00,63,213.2
2010-06-03 05:15:00,63,198.8
2010-06-03 05:30:00,63,205.1
2010-06-03 05:45:00,63,188.6
2010-06-03 06:00:00,63,208.3
2010-06-03 06:15:00,63,192.4
2010-06-03 06:30:00,63,187.0
2010-06-03 06:45:00,63,191.9
