Timestamp,TMUSite5509-2 - Speed Value,TMUSite5509-2 - Total Carriageway Flow
2018-01-02 12:29:00,109.12,319
2018-01-02 12:44:00,106.25,362
2018-01-02 12:59:00,108.38,347
2018-01-02 13:14:00,110.07,364
2018-01-02 13:29:00,110.47,346
2018-01-02 13:44:00,112.58,330
2018-01-02 13:59:00,112.33,369
2018-01-02 14:14:00,111.37,424
2018-01-02 14:29:00,113.23,365
2018-01-02 14:44:00,113.29,354
2018-01-02 14:59:00,113.4,312
2018-01-02 15:14:00,115.4,334
2018-01-02 15:29:00,112.83,335
2018-01-02 15:44:00,115.99,339
2018-01-02 15:59:00,113.49,355
2018-01-02 16:14:00,114.88,362
2018-01-02 16:29:00,113.68,352
2018-01-02 16:44:00,110.7,359
2018-01-02 16:59:00,111.64,360
2018-01-02 17:14:00,111.48,403
2018-01-02 17:29:00,111.67,369
2018-01-02 17:44:00,112.19,390
2018-01-02 17:59:00,112.61,303
2018-01-02 18:14:00,112.5,291
2018-01-02 18:29:00,113.34,277
2018-01-02 18:44:00,113.39,265
2018-01-02 18:59:00,112.94,195
2018-01-02 19:14:00,113.44,260
2018-01-02 19:29:00,115.74,152
2018-01-02 19:44:00,112.51,140
2018-01-02 19:59:00,114.04,146
2018-01-02 20:14:00,113.78,151
2018-01-02 20:29:00,110.07,134
2018-01-02 20:44:00,110.65,94
2018-01-02 20:59:00,109.57,76
2018-01-02 21:14:00,108.17,108
2018-01-02 21:29:00,103.97,84
2018-01-02 21:44:00,110.87,70
2018-01-02 21:59:00,109.25,102
2018-01-02 22:14:00,106.25,118
2018-01-02 22:29:00,107.66,140
2018-01-02 22:44:00,110.4,120
2018-01-02 22:59:00,108.99,143
2018-01-02 23:14:00,107.34,66
2018-01-02 23:29:00,100.72,34
2018-01-02 23:44:00,101.85,31
2018-01-02 23:59:00,109.44,23
2018-01-03 00:14:00,107.79,25
2018-01-03 00:29:00,106.09,18
2018-01-03 00:44:00,111.81,14
2018-01-03 00:59:00,108.16,18
2018-01-03 01:14:00,111.7,16
2018-01-03 01:29:00,109.0,15
2018-01-03 01:44:00,106.72,7
2018-01-03 01:59:00,106.33,19
2018-01-03 02:14:00,105.25,11
2018-01-03 02:29:00,102.34,9
2018-01-03 02:44:00,106.07,17
2018-01-03 02:59:00,113.05,11
2018-01-03 03:14:00,109.47,22
2018-01-03 03:29:00,105.2,14
2018-01-03 03:44:00,101.59,21
